Type,Question,Options,Answer,Chunk_ID,QA_ID
Blanks,Data Science extracts knowledge and insights from _________ data.,,raw,SA_P1_M1_Ch01_Pg004_1,SA_P1_M1_Q001
Match,Data Science,Analyzes images and extracts features;Extracts knowledge and insights from data;Builds and trains models for machine learning,Extracts knowledge and insights from data,SA_P1_M1_Ch01_Pg004_1,SA_P1_M1_Q002
Match,Machine Learning Engineer,Builds and trains models for machine learning;Extracts knowledge and insights from data;Analyzes images and extracts features,Builds and trains models for machine learning,SA_P1_M1_Ch01_Pg004_1,SA_P1_M1_Q003
Match,Image Recognition,Extracts knowledge and insights from data;Analyzes images and extracts features;Builds and trains models for machine learning,Analyzes images and extracts features,SA_P1_M1_Ch01_Pg004_1,SA_P1_M1_Q004
MCQ,Which of the following industries does NOT benefit from Data Science applications?,Finance;Education;Healthcare;Manufacturing,['Manufacturing'],SA_P1_M1_Ch01_Pg004_1,SA_P1_M1_Q005
True/False,Data Science involves extracting insights from structured data only.,True;False,FALSE,SA_P1_M1_Ch01_Pg004_1,SA_P1_M1_Q006
Blanks,The beginner level salary for a Data Scientist ranges from ______ to ______.,,"['5 lpa', '8 lpa']",SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q007
Blanks,The intermediate level salary for a Data Scientist ranges from ______ to ______.,,"['8 lpa', '16 lpa']",SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q008
Blanks,The expert level salary for a Data Scientist ranges from ______ to ______.,,"['16 lpa', '24+ lpa']",SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q009
Match,Probability and Statistics,Methods for presenting data in a visual format.;Advanced algorithms used to solve complex machine learning problems.;Programming languages commonly used in data science.;Techniques used to understand the relationships between data points.;Techniques used to process and analyze image data.;Algorithms used to make predictions or identify patterns in data.;Techniques used to process and analyze natural language data.,Techniques used to understand the relationships between data points.,SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q010
Match,Python / R Programming,Algorithms used to make predictions or identify patterns in data.;Methods for presenting data in a visual format.;Techniques used to understand the relationships between data points.;Techniques used to process and analyze natural language data.;Advanced algorithms used to solve complex machine learning problems.;Programming languages commonly used in data science.;Techniques used to process and analyze image data.,Programming languages commonly used in data science.,SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q011
Match,Data Visualization Techniques,Methods for presenting data in a visual format.;Algorithms used to make predictions or identify patterns in data.;Advanced algorithms used to solve complex machine learning problems.;Techniques used to process and analyze natural language data.;Techniques used to understand the relationships between data points.;Techniques used to process and analyze image data.;Programming languages commonly used in data science.,Methods for presenting data in a visual format.,SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q012
Match,Machine Learning,Advanced algorithms used to solve complex machine learning problems.;Techniques used to process and analyze natural language data.;Techniques used to process and analyze image data.;Methods for presenting data in a visual format.;Programming languages commonly used in data science.;Algorithms used to make predictions or identify patterns in data.;Techniques used to understand the relationships between data points.,Algorithms used to make predictions or identify patterns in data.,SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q013
Match,Deep Learning,Programming languages commonly used in data science.;Techniques used to understand the relationships between data points.;Algorithms used to make predictions or identify patterns in data.;Advanced algorithms used to solve complex machine learning problems.;Techniques used to process and analyze natural language data.;Techniques used to process and analyze image data.;Methods for presenting data in a visual format.,Advanced algorithms used to solve complex machine learning problems.,SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q014
Match,NLP,Methods for presenting data in a visual format.;Algorithms used to make predictions or identify patterns in data.;Advanced algorithms used to solve complex machine learning problems.;Techniques used to process and analyze image data.;Techniques used to process and analyze natural language data.;Programming languages commonly used in data science.;Techniques used to understand the relationships between data points.,Techniques used to process and analyze natural language data.,SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q015
Match,Computer Vision,Algorithms used to make predictions or identify patterns in data.;Techniques used to process and analyze natural language data.;Techniques used to process and analyze image data.;Programming languages commonly used in data science.;Advanced algorithms used to solve complex machine learning problems.;Techniques used to understand the relationships between data points.;Methods for presenting data in a visual format.,Techniques used to process and analyze image data.,SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q016
MCQ,Which of the following is a skill required for a Data Scientist?,Probability and Statistics;Database Management;Web Development;All of the above,['All of the above'],SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q017
MCQ,What is the salary range for an intermediate level Data Scientist?,8 lpa to 16 lpa;None of the above;5 lpa to 8 lpa;16 lpa to 24+ lpa,['8 lpa to 16 lpa'],SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q018
True/False,The beginner level salary for a Data Scientist is higher than the intermediate level salary.,True;False,FALSE,SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q019
True/False,Data visualization techniques are used to analyze data.,True;False,TRUE,SA_P1_M1_Ch01_Pg008_1,SA_P1_M1_Q020
Blanks,Python was created by _______________ and released in _______________.,,"['Guido van Rossum', '1991']",SA_P1_M1_Ch01_Pg010_1,SA_P1_M1_Q021
Match,Free and Open Source,Python code is executed line by line.;Python can be used without paying any fees.;Python is beginner-friendly and has a simple syntax.,Python can be used without paying any fees.,SA_P1_M1_Ch01_Pg010_1,SA_P1_M1_Q022
Match,Easy to Learn,Python is beginner-friendly and has a simple syntax.;Python can be used without paying any fees.;Python code is executed line by line.,Python is beginner-friendly and has a simple syntax.,SA_P1_M1_Ch01_Pg010_1,SA_P1_M1_Q023
Match,Interpreted Language,Python can be used without paying any fees.;Python is beginner-friendly and has a simple syntax.;Python code is executed line by line.,Python code is executed line by line.,SA_P1_M1_Ch01_Pg010_1,SA_P1_M1_Q024
